query_id Q0 docid rank TfIdf_with_PseudoRel_score system_name
28 Q0 3032 1 2.725056 TfIdf_with_PseudoRel
28 Q0 2890 2 2.723629 TfIdf_with_PseudoRel
28 Q0 2949 3 2.592799 TfIdf_with_PseudoRel
28 Q0 1685 4 2.351237 TfIdf_with_PseudoRel
28 Q0 2515 5 2.205710 TfIdf_with_PseudoRel
28 Q0 2849 6 2.073617 TfIdf_with_PseudoRel
28 Q0 1695 7 1.999669 TfIdf_with_PseudoRel
28 Q0 2197 8 1.946609 TfIdf_with_PseudoRel
28 Q0 2951 9 1.812223 TfIdf_with_PseudoRel
28 Q0 2776 10 1.714393 TfIdf_with_PseudoRel
28 Q0 1928 11 1.090829 TfIdf_with_PseudoRel
28 Q0 1989 12 1.009167 TfIdf_with_PseudoRel
28 Q0 1261 13 0.960761 TfIdf_with_PseudoRel
28 Q0 1890 14 0.946307 TfIdf_with_PseudoRel
28 Q0 2892 15 0.920162 TfIdf_with_PseudoRel
28 Q0 2371 16 0.903866 TfIdf_with_PseudoRel
28 Q0 2046 17 0.832764 TfIdf_with_PseudoRel
28 Q0 3158 18 0.829571 TfIdf_with_PseudoRel
28 Q0 1723 19 0.816386 TfIdf_with_PseudoRel
28 Q0 3133 20 0.746154 TfIdf_with_PseudoRel
28 Q0 2969 21 0.736895 TfIdf_with_PseudoRel
28 Q0 2274 22 0.700064 TfIdf_with_PseudoRel
28 Q0 3059 23 0.659660 TfIdf_with_PseudoRel
28 Q0 3040 24 0.640431 TfIdf_with_PseudoRel
28 Q0 1811 25 0.633566 TfIdf_with_PseudoRel
28 Q0 441 26 0.630332 TfIdf_with_PseudoRel
28 Q0 2568 27 0.622772 TfIdf_with_PseudoRel
28 Q0 2988 28 0.620197 TfIdf_with_PseudoRel
28 Q0 1889 29 0.609155 TfIdf_with_PseudoRel
28 Q0 3070 30 0.574428 TfIdf_with_PseudoRel
28 Q0 1844 31 0.571975 TfIdf_with_PseudoRel
28 Q0 1846 32 0.565055 TfIdf_with_PseudoRel
28 Q0 2712 33 0.559768 TfIdf_with_PseudoRel
28 Q0 2289 34 0.550218 TfIdf_with_PseudoRel
28 Q0 3076 35 0.516996 TfIdf_with_PseudoRel
28 Q0 2894 36 0.516436 TfIdf_with_PseudoRel
28 Q0 1745 37 0.509364 TfIdf_with_PseudoRel
28 Q0 1906 38 0.500217 TfIdf_with_PseudoRel
28 Q0 1771 39 0.483931 TfIdf_with_PseudoRel
28 Q0 1856 40 0.476802 TfIdf_with_PseudoRel
28 Q0 2614 41 0.474247 TfIdf_with_PseudoRel
28 Q0 3043 42 0.473162 TfIdf_with_PseudoRel
28 Q0 2454 43 0.470231 TfIdf_with_PseudoRel
28 Q0 3038 44 0.468042 TfIdf_with_PseudoRel
28 Q0 2147 45 0.434354 TfIdf_with_PseudoRel
28 Q0 1366 46 0.433004 TfIdf_with_PseudoRel
28 Q0 2986 47 0.431772 TfIdf_with_PseudoRel
28 Q0 2900 48 0.429942 TfIdf_with_PseudoRel
28 Q0 1769 49 0.422307 TfIdf_with_PseudoRel
28 Q0 1922 50 0.421421 TfIdf_with_PseudoRel
28 Q0 3082 51 0.420957 TfIdf_with_PseudoRel
28 Q0 367 52 0.415171 TfIdf_with_PseudoRel
28 Q0 3077 53 0.413577 TfIdf_with_PseudoRel
28 Q0 2852 54 0.411124 TfIdf_with_PseudoRel
28 Q0 3153 55 0.410378 TfIdf_with_PseudoRel
28 Q0 2181 56 0.408370 TfIdf_with_PseudoRel
28 Q0 2198 57 0.403491 TfIdf_with_PseudoRel
28 Q0 2059 58 0.400733 TfIdf_with_PseudoRel
28 Q0 2948 59 0.399355 TfIdf_with_PseudoRel
28 Q0 2380 60 0.389636 TfIdf_with_PseudoRel
28 Q0 2002 61 0.388675 TfIdf_with_PseudoRel
28 Q0 3087 62 0.386521 TfIdf_with_PseudoRel
28 Q0 3130 63 0.386398 TfIdf_with_PseudoRel
28 Q0 2598 64 0.381374 TfIdf_with_PseudoRel
28 Q0 2593 65 0.375924 TfIdf_with_PseudoRel
28 Q0 3148 66 0.372523 TfIdf_with_PseudoRel
28 Q0 2163 67 0.369887 TfIdf_with_PseudoRel
28 Q0 3137 68 0.369304 TfIdf_with_PseudoRel
28 Q0 2196 69 0.360030 TfIdf_with_PseudoRel
28 Q0 2406 70 0.359605 TfIdf_with_PseudoRel
28 Q0 3134 71 0.355542 TfIdf_with_PseudoRel
28 Q0 1611 72 0.354200 TfIdf_with_PseudoRel
28 Q0 2088 73 0.354091 TfIdf_with_PseudoRel
28 Q0 1690 74 0.354091 TfIdf_with_PseudoRel
28 Q0 1687 75 0.354091 TfIdf_with_PseudoRel
28 Q0 1688 76 0.354091 TfIdf_with_PseudoRel
28 Q0 1516 77 0.352195 TfIdf_with_PseudoRel
28 Q0 2721 78 0.352076 TfIdf_with_PseudoRel
28 Q0 2767 79 0.351892 TfIdf_with_PseudoRel
28 Q0 2479 80 0.347874 TfIdf_with_PseudoRel
28 Q0 3164 81 0.346940 TfIdf_with_PseudoRel
28 Q0 1827 82 0.345854 TfIdf_with_PseudoRel
28 Q0 3011 83 0.345545 TfIdf_with_PseudoRel
28 Q0 1699 84 0.344663 TfIdf_with_PseudoRel
28 Q0 1836 85 0.344066 TfIdf_with_PseudoRel
28 Q0 1765 86 0.343995 TfIdf_with_PseudoRel
28 Q0 1525 87 0.343823 TfIdf_with_PseudoRel
28 Q0 2572 88 0.343108 TfIdf_with_PseudoRel
28 Q0 2484 89 0.342867 TfIdf_with_PseudoRel
28 Q0 1034 90 0.339571 TfIdf_with_PseudoRel
28 Q0 2178 91 0.337140 TfIdf_with_PseudoRel
28 Q0 2217 92 0.336859 TfIdf_with_PseudoRel
28 Q0 2401 93 0.336097 TfIdf_with_PseudoRel
28 Q0 2973 94 0.331510 TfIdf_with_PseudoRel
28 Q0 1680 95 0.328257 TfIdf_with_PseudoRel
28 Q0 828 96 0.328149 TfIdf_with_PseudoRel
28 Q0 2188 97 0.327742 TfIdf_with_PseudoRel
28 Q0 2905 98 0.327046 TfIdf_with_PseudoRel
28 Q0 2358 99 0.326568 TfIdf_with_PseudoRel
28 Q0 1665 100 0.323361 TfIdf_with_PseudoRel
