query_id Q0 docid rank TfIdf_score system_name
47 Q0 1699 1 1.012884 TfIdf_with_Stopping
47 Q0 2288 2 0.935487 TfIdf_with_Stopping
47 Q0 3134 3 0.880365 TfIdf_with_Stopping
47 Q0 2726 4 0.848458 TfIdf_with_Stopping
47 Q0 2990 5 0.780056 TfIdf_with_Stopping
47 Q0 2882 6 0.765785 TfIdf_with_Stopping
47 Q0 1681 7 0.732954 TfIdf_with_Stopping
47 Q0 2598 8 0.673325 TfIdf_with_Stopping
47 Q0 2848 9 0.656667 TfIdf_with_Stopping
47 Q0 1032 10 0.569613 TfIdf_with_Stopping
47 Q0 891 11 0.565656 TfIdf_with_Stopping
47 Q0 2451 12 0.558963 TfIdf_with_Stopping
47 Q0 1194 13 0.556218 TfIdf_with_Stopping
47 Q0 1827 14 0.554510 TfIdf_with_Stopping
47 Q0 3033 15 0.544168 TfIdf_with_Stopping
47 Q0 1705 16 0.541837 TfIdf_with_Stopping
47 Q0 2053 17 0.539646 TfIdf_with_Stopping
47 Q0 3041 18 0.523945 TfIdf_with_Stopping
47 Q0 2722 19 0.523500 TfIdf_with_Stopping
47 Q0 2319 20 0.519090 TfIdf_with_Stopping
47 Q0 2344 21 0.499093 TfIdf_with_Stopping
47 Q0 1680 22 0.496000 TfIdf_with_Stopping
47 Q0 1457 23 0.492383 TfIdf_with_Stopping
47 Q0 3012 24 0.486340 TfIdf_with_Stopping
47 Q0 1236 25 0.482879 TfIdf_with_Stopping
47 Q0 2947 26 0.482879 TfIdf_with_Stopping
47 Q0 1936 27 0.480091 TfIdf_with_Stopping
47 Q0 2263 28 0.471555 TfIdf_with_Stopping
47 Q0 2832 29 0.463856 TfIdf_with_Stopping
47 Q0 2979 30 0.453524 TfIdf_with_Stopping
47 Q0 1725 31 0.449803 TfIdf_with_Stopping
47 Q0 2516 32 0.444625 TfIdf_with_Stopping
47 Q0 2307 33 0.443995 TfIdf_with_Stopping
47 Q0 2542 34 0.441452 TfIdf_with_Stopping
47 Q0 1937 35 0.433602 TfIdf_with_Stopping
47 Q0 2856 36 0.432807 TfIdf_with_Stopping
47 Q0 1719 37 0.432567 TfIdf_with_Stopping
47 Q0 1684 38 0.422513 TfIdf_with_Stopping
47 Q0 2711 39 0.393150 TfIdf_with_Stopping
47 Q0 2453 40 0.384289 TfIdf_with_Stopping
47 Q0 3034 41 0.378706 TfIdf_with_Stopping
47 Q0 1327 42 0.378706 TfIdf_with_Stopping
47 Q0 2492 43 0.378706 TfIdf_with_Stopping
47 Q0 2535 44 0.378402 TfIdf_with_Stopping
47 Q0 1927 45 0.377823 TfIdf_with_Stopping
47 Q0 1671 46 0.377788 TfIdf_with_Stopping
47 Q0 2631 47 0.377177 TfIdf_with_Stopping
47 Q0 1908 48 0.376026 TfIdf_with_Stopping
47 Q0 3087 49 0.372643 TfIdf_with_Stopping
47 Q0 2318 50 0.370615 TfIdf_with_Stopping
47 Q0 1172 51 0.368413 TfIdf_with_Stopping
47 Q0 1935 52 0.367245 TfIdf_with_Stopping
47 Q0 2622 53 0.367179 TfIdf_with_Stopping
47 Q0 2455 54 0.366154 TfIdf_with_Stopping
47 Q0 1976 55 0.366154 TfIdf_with_Stopping
47 Q0 2846 56 0.366154 TfIdf_with_Stopping
47 Q0 2140 57 0.366154 TfIdf_with_Stopping
47 Q0 2160 58 0.366154 TfIdf_with_Stopping
47 Q0 2984 59 0.360493 TfIdf_with_Stopping
47 Q0 1412 60 0.353243 TfIdf_with_Stopping
47 Q0 1652 61 0.350171 TfIdf_with_Stopping
47 Q0 2372 62 0.346575 TfIdf_with_Stopping
47 Q0 2358 63 0.345952 TfIdf_with_Stopping
47 Q0 2978 64 0.342169 TfIdf_with_Stopping
47 Q0 2002 65 0.339414 TfIdf_with_Stopping
47 Q0 1267 66 0.335045 TfIdf_with_Stopping
47 Q0 2437 67 0.334473 TfIdf_with_Stopping
47 Q0 1700 68 0.329206 TfIdf_with_Stopping
47 Q0 1792 69 0.328154 TfIdf_with_Stopping
47 Q0 1938 70 0.326510 TfIdf_with_Stopping
47 Q0 1695 71 0.324875 TfIdf_with_Stopping
47 Q0 2561 72 0.324867 TfIdf_with_Stopping
47 Q0 2424 73 0.323776 TfIdf_with_Stopping
47 Q0 3136 74 0.319668 TfIdf_with_Stopping
47 Q0 2018 75 0.319274 TfIdf_with_Stopping
47 Q0 2669 76 0.317749 TfIdf_with_Stopping
47 Q0 3113 77 0.317743 TfIdf_with_Stopping
47 Q0 2375 78 0.312575 TfIdf_with_Stopping
47 Q0 3084 79 0.311702 TfIdf_with_Stopping
47 Q0 2114 80 0.311258 TfIdf_with_Stopping
47 Q0 3070 81 0.311183 TfIdf_with_Stopping
47 Q0 2278 82 0.307581 TfIdf_with_Stopping
47 Q0 1514 83 0.303686 TfIdf_with_Stopping
47 Q0 2765 84 0.303410 TfIdf_with_Stopping
47 Q0 2985 85 0.302714 TfIdf_with_Stopping
47 Q0 2287 86 0.298654 TfIdf_with_Stopping
47 Q0 1264 87 0.291883 TfIdf_with_Stopping
47 Q0 944 88 0.280347 TfIdf_with_Stopping
47 Q0 1359 89 0.278285 TfIdf_with_Stopping
47 Q0 1506 90 0.276034 TfIdf_with_Stopping
47 Q0 2092 91 0.275341 TfIdf_with_Stopping
47 Q0 2342 92 0.274529 TfIdf_with_Stopping
47 Q0 2547 93 0.274104 TfIdf_with_Stopping
47 Q0 2109 94 0.273664 TfIdf_with_Stopping
47 Q0 2519 95 0.273421 TfIdf_with_Stopping
47 Q0 1307 96 0.270972 TfIdf_with_Stopping
47 Q0 1747 97 0.267595 TfIdf_with_Stopping
47 Q0 2716 98 0.266081 TfIdf_with_Stopping
47 Q0 1665 99 0.265192 TfIdf_with_Stopping
47 Q0 1108 100 0.264864 TfIdf_with_Stopping
