query_id Q0 docid rank BM25_Stopping_score system_name
8 Q0 1685 1 1.038296 BM25_Stopping_
8 Q0 2776 2 0.829777 BM25_Stopping_
8 Q0 2614 3 0.779843 BM25_Stopping_
8 Q0 3068 4 0.702340 BM25_Stopping_
8 Q0 2625 5 0.610207 BM25_Stopping_
8 Q0 1461 6 0.577447 BM25_Stopping_
8 Q0 2371 7 0.497386 BM25_Stopping_
8 Q0 2951 8 0.491727 BM25_Stopping_
8 Q0 2515 9 0.472293 BM25_Stopping_
8 Q0 2197 10 0.450558 BM25_Stopping_
8 Q0 2949 11 0.449566 BM25_Stopping_
8 Q0 1261 12 0.447379 BM25_Stopping_
8 Q0 1723 13 0.446744 BM25_Stopping_
8 Q0 2482 14 0.434095 BM25_Stopping_
8 Q0 1695 15 0.427526 BM25_Stopping_
8 Q0 1752 16 0.419475 BM25_Stopping_
8 Q0 1688 17 0.413159 BM25_Stopping_
8 Q0 2740 18 0.399095 BM25_Stopping_
8 Q0 2219 19 0.398976 BM25_Stopping_
8 Q0 820 20 0.394394 BM25_Stopping_
8 Q0 828 21 0.384572 BM25_Stopping_
8 Q0 2088 22 0.384033 BM25_Stopping_
8 Q0 1687 23 0.384033 BM25_Stopping_
8 Q0 2578 24 0.381763 BM25_Stopping_
8 Q0 2757 25 0.375276 BM25_Stopping_
8 Q0 3133 26 0.362188 BM25_Stopping_
8 Q0 2830 27 0.359140 BM25_Stopping_
8 Q0 3 28 0.356533 BM25_Stopping_
8 Q0 2479 29 0.345065 BM25_Stopping_
8 Q0 2969 30 0.343421 BM25_Stopping_
8 Q0 2111 31 0.341628 BM25_Stopping_
8 Q0 1690 32 0.336578 BM25_Stopping_
8 Q0 3032 33 0.334578 BM25_Stopping_
8 Q0 8 34 0.334555 BM25_Stopping_
8 Q0 2379 35 0.327314 BM25_Stopping_
8 Q0 1680 36 0.318908 BM25_Stopping_
8 Q0 2500 37 0.318075 BM25_Stopping_
8 Q0 2407 38 0.314105 BM25_Stopping_
8 Q0 1928 39 0.309865 BM25_Stopping_
8 Q0 1611 40 0.309250 BM25_Stopping_
8 Q0 2597 41 0.302310 BM25_Stopping_
8 Q0 2890 42 0.300875 BM25_Stopping_
8 Q0 2882 43 0.297234 BM25_Stopping_
8 Q0 2867 44 0.294919 BM25_Stopping_
8 Q0 1989 45 0.294170 BM25_Stopping_
8 Q0 1951 46 0.294046 BM25_Stopping_
8 Q0 2069 47 0.291170 BM25_Stopping_
8 Q0 3040 48 0.289759 BM25_Stopping_
8 Q0 1462 49 0.288723 BM25_Stopping_
8 Q0 666 50 0.287127 BM25_Stopping_
8 Q0 2712 51 0.286273 BM25_Stopping_
8 Q0 3038 52 0.284006 BM25_Stopping_
8 Q0 1751 53 0.283735 BM25_Stopping_
8 Q0 2138 54 0.274387 BM25_Stopping_
8 Q0 2080 55 0.273110 BM25_Stopping_
8 Q0 2629 56 0.272399 BM25_Stopping_
8 Q0 3127 57 0.267717 BM25_Stopping_
8 Q0 3150 58 0.266970 BM25_Stopping_
8 Q0 2311 59 0.266647 BM25_Stopping_
8 Q0 1755 60 0.265709 BM25_Stopping_
8 Q0 3076 61 0.265371 BM25_Stopping_
8 Q0 1846 62 0.264839 BM25_Stopping_
8 Q0 2840 63 0.262579 BM25_Stopping_
8 Q0 2522 64 0.261455 BM25_Stopping_
8 Q0 517 65 0.259867 BM25_Stopping_
8 Q0 2621 66 0.259698 BM25_Stopping_
8 Q0 2852 67 0.258388 BM25_Stopping_
8 Q0 2372 68 0.257846 BM25_Stopping_
8 Q0 1938 69 0.257582 BM25_Stopping_
8 Q0 1750 70 0.253565 BM25_Stopping_
8 Q0 3158 71 0.252733 BM25_Stopping_
8 Q0 1728 72 0.252463 BM25_Stopping_
8 Q0 2454 73 0.247664 BM25_Stopping_
8 Q0 383 74 0.244327 BM25_Stopping_
8 Q0 1776 75 0.244327 BM25_Stopping_
8 Q0 2317 76 0.243011 BM25_Stopping_
8 Q0 2525 77 0.242834 BM25_Stopping_
8 Q0 2358 78 0.242493 BM25_Stopping_
8 Q0 3059 79 0.240866 BM25_Stopping_
8 Q0 1785 80 0.240072 BM25_Stopping_
8 Q0 2991 81 0.239170 BM25_Stopping_
8 Q0 3083 82 0.238913 BM25_Stopping_
8 Q0 2920 83 0.234016 BM25_Stopping_
8 Q0 2345 84 0.232823 BM25_Stopping_
8 Q0 757 85 0.230540 BM25_Stopping_
8 Q0 2892 86 0.229607 BM25_Stopping_
8 Q0 2319 87 0.228688 BM25_Stopping_
8 Q0 2849 88 0.227781 BM25_Stopping_
8 Q0 2741 89 0.227372 BM25_Stopping_
8 Q0 2541 90 0.224044 BM25_Stopping_
8 Q0 2858 91 0.224011 BM25_Stopping_
8 Q0 1754 92 0.223707 BM25_Stopping_
8 Q0 1869 93 0.222112 BM25_Stopping_
8 Q0 2194 94 0.220135 BM25_Stopping_
8 Q0 1877 95 0.219769 BM25_Stopping_
8 Q0 1591 96 0.216995 BM25_Stopping_
8 Q0 441 97 0.216956 BM25_Stopping_
8 Q0 25 98 0.215088 BM25_Stopping_
8 Q0 1247 99 0.214236 BM25_Stopping_
8 Q0 1341 100 0.211372 BM25_Stopping_
