term, tf
4, 17163
5, 15161
6, 15080
the, 10986
of, 9179
a, 6334
and, 4567
to, 3731
is, 3716
in, 3444
cacm, 3194
for, 3160
1978, 3001
jb, 2992
pm, 2216
are, 1977
march, 1829
algorithm, 1610
an, 1387
system, 1218
by, 1211
on, 1206
be, 1198
which, 1178
this, 1163
computer, 1130
with, 1116
that, 1091
february, 1002
am, 981
1781, 974
as, 961
january, 930
data, 927
j, 887
program, 819
programming, 785
language, 749
r, 720
method, 718
it, 717
systems, 699
1491, 622
9, 598
can, 588
10, 588
2, 582
m, 564
3, 561
time, 531
from, 531
3184, 528
may, 514
paper, 512
1, 511
information, 498
or, 497
storage, 495
problem, 493
d, 486
h, 481
number, 464
described, 457
analysis, 454
w, 451
programs, 443
presented, 433
use, 433
1787, 432
given, 431
17, 426
c, 422
used, 418
e, 414
196, 413
11, 412
processing, 408
these, 402
g, 398
680, 396
1265, 396
memory, 396
has, 388
763, 388
1973, 382
1496, 382
december, 376
algorithms, 374
1945, 372
s, 366
at, 363
design, 355
been, 353
n, 344
l, 343
such, 342
one, 340
some, 339
set, 338
function, 335
8, 335
799, 334
p, 334
1477, 332
problems, 330
using, 327
1963, 320
1396, 312
discussed, 311
have, 309
august, 307
1972, 305
1139, 304
two, 302
1358, 302
april, 301
june, 300
483, 300
not, 299
404, 295
structure, 294
july, 294
languages, 293
1860, 292
20, 291
b, 291
methods, 288
i, 285
model, 285
its, 283
210, 280
1140, 278
13, 277
november, 276
1323, 276
22, 274
14, 273
matrix, 272
functions, 272
1969, 271
control, 270
new, 268
technique, 266
12, 266
each, 265
2060, 264
october, 263
results, 261
other, 260
file, 258
also, 257
techniques, 257
2723, 256
1614, 256
general, 254
1962, 253
989, 252
1380, 252
1613, 250
k, 249
september, 249
224, 248
7, 247
123, 247
1960, 245
1626, 244
23, 244
1223, 242
249, 242
solution, 241
1751, 240
retrieval, 240
f, 238
584, 238
linear, 237
2179, 236
into, 234
shown, 233
more, 231
list, 230
1977, 228
t, 227
error, 227
464, 226
simulation, 226
1549, 222
1749, 222
1785, 222
equations, 219
2546, 218
than, 217
all, 217
691, 216
627, 216
machine, 216
search, 215
structures, 214
463, 214
performance, 213
1964, 213
procedure, 212
between, 211
1961, 210
1421, 208
669, 208
919, 208
fortran, 207
any, 207
1132, 206
2203, 206
731, 206
2107, 206
allocation, 205
operating, 205
1198, 200
1970, 199
implementation, 199
1215, 198
2842, 198
1965, 198
1826, 198
code, 197
simple, 196
990, 196
computing, 195
1303, 194
1979, 194
based, 194
2017, 192
large, 191
1565, 190
2698, 190
automatic, 189
2126, 188
205, 187
input, 186
both, 186
761, 186
2543, 186
15, 185
several, 185
algol, 185
2319, 184
procedures, 184
27, 184
numerical, 184
16, 183
was, 182
1966, 181
631, 180
their, 180
28, 178
when, 178
1967, 178
2220, 178
2109, 178
process, 176
1051, 176
1102, 176
3073, 176
1234, 170
computers, 170
developed, 170
1464, 170
1046, 170
standard, 169
only, 168
2632, 168
decision, 168
but, 167
1141, 166
2732, 166
many, 165
proposed, 165
1641, 164
1471, 164
1468, 162
1968, 162
1354, 162
2356, 160
1728, 160
2317, 160
1366, 160
tree, 159
random, 159
1836, 158
2855, 158
order, 157
efficient, 157
scheduling, 157
arithmetic, 156
integration, 156
1393, 156
2377, 154
user, 154
3112, 154
30, 153
evaluation, 153
2708, 152
1379, 152
1263, 152
certain, 151
operations, 151
digital, 151
1974, 150
2218, 150
3053, 150
will, 150
1788, 150
398, 149
1531, 148
2251, 148
2053, 148
compiler, 148
2155, 148
computation, 148
1825, 148
2168, 148
4.22, 148
table, 147
management, 147
653, 146
complex, 146
1975, 146
1693, 146
381, 145
most, 145
2095, 144
2373, 144
378, 143
network, 143
application, 143
tables, 143
first, 143
2534, 142
2150, 142
288, 142
1767, 140
binary, 140
1976, 140
1487, 140
1877, 140
variables, 139
4.32, 139
1460, 138
1786, 138
required, 137
form, 137
3188, 137
1007, 136
1467, 136
software, 136
then, 136
2679, 136
made, 136
410, 135
applications, 134
1535, 134
optimal, 133
science, 133
space, 133
distribution, 132
106, 132
2625, 132
321, 131
316, 131
sorting, 131
possible, 131
basic, 131
2178, 130
processes, 130
if, 129
parallel, 129
approach, 129
1854, 128
2018, 128
jr, 128
1901, 128
representation, 127
1131, 126
1463, 126
1462, 126
1601, 126
1602, 126
2358, 126
display, 126
1149, 126
600, 126
organization, 126
series, 125
4.12, 125
various, 125
development, 124
2704, 124
2736, 124
2252, 124
2863, 124
dh, 124
graph, 124
2110, 124
trees, 124
849, 124
scheme, 123
theory, 123
values, 122
1919, 122
31, 122
3106, 122
execution, 121
particular, 121
1098, 120
642, 120
over, 120
level, 120
2127, 120
o, 119
output, 119
access, 119
considered, 119
491, 119
2684, 118
1175, 118
1172, 118
2738, 118
3.74, 118
2061, 118
size, 118
manipulation, 118
were, 118
2770, 118
26, 118
paging, 118
2046, 118
polynomial, 117
matrices, 117
dynamic, 116
1028, 116
2341, 116
ibm, 116
2902, 116
1879, 116
21, 116
examples, 116
generation, 116
3054, 116
308, 115
how, 115
18, 115
rules, 115
2726, 114
3006, 114
1878, 114
2719, 114
2856, 114
2598, 114
864, 113
2645, 112
1834, 112
1388, 112
762, 112
3077, 112
561, 112
cost, 111
1214, 110
terms, 110
1892, 110
644, 110
949, 110
2435, 110
errors, 109
24, 109
3067, 108
pattern, 108
1352, 108
2111, 108
1453, 108
2453, 108
2340, 108
time-sharing, 107
processor, 107
1971, 107
small, 106
1683, 106
applied, 106
test, 106
1270, 106
2374, 106
1086, 106
1824, 106
2380, 106
2833, 106
2345, 106
254, 105
special, 105
multiprogramming, 105
under, 105
grammar, 105
numbers, 105
purpose, 105
2765, 104
1665, 104
different, 104
437, 104
435, 104
well, 104
expressions, 104
real, 103
features, 103
models, 102
where, 102
quadrature, 102
study, 102
very, 102
2941, 102
2083, 102
2597, 102
1278, 102
2326, 102
types, 101
defined, 101
approximation, 101
they, 101
mathematical, 101
v, 101
679, 100
2379, 100
optimization, 100
communication, 100
means, 100
2059, 100
2376, 100
conditions, 100
1992, 100
44, 100
964, 100
1484, 100
text, 100
1029, 100
value, 100
three, 99
140, 99
differential, 99
3003, 98
2552, 98
research, 98
1327, 98
computational, 98
2273, 98
1997, 98
syntax, 98
through, 98
29, 98
2080, 98
case, 98
part, 98
3144, 98
hardware, 97
1959, 97
obtained, 97
description, 97
example, 96
1455, 96
1084, 96
3045, 96
1498, 96
2596, 96
2840, 96
properties, 96
2091, 96
describes, 96
1771, 96
560, 96
1024, 96
2329, 96
within, 95
type, 95
virtual, 95
must, 95
no, 95
statements, 94
1306, 94
formal, 94
2618, 94
key, 94
1552, 94
string, 94
1188, 94
2991, 94
equation, 94
class, 94
available, 93
work, 93
networks, 93
designed, 93
309, 93
there, 93
searching, 93
2986, 92
1184, 92
1083, 92
1949, 92
grammars, 92
2838, 92
272, 91
interactive, 91
3.73, 91
efficiency, 91
5.24, 91
education, 91
characteristics, 91
2556, 90
2558, 90
2559, 90
x, 90
2138, 90
984, 90
2733, 90
2741, 90
3093, 90
1947, 90
1548, 90
1237, 90
so, 89
comparison, 89
those, 89
5.5, 89
3069, 88
632, 88
2015, 88
583, 88
2277, 88
1936, 88
2652, 88
40, 88
2929, 88
2868, 88
1109, 88
2325, 88
438, 88
files, 88
2669, 88
2934, 88
2163, 88
1392, 88
base, 87
implemented, 87
without, 87
point, 87
requirements, 87
fast, 87
common, 87
1646, 86
1659, 86
407, 86
2740, 86
important, 86
provides, 86
3105, 86
present, 86
natural, 85
report, 85
provide, 85
2928, 85
60, 85
2342, 84
1387, 84
1012, 84
written, 84
least, 84
2865, 84
823, 84
2204, 84
environment, 84
2972, 84
3128, 84
definition, 83
35, 83
parsing, 83
polynomials, 83
second, 82
generator, 82
algebraic, 82
2939, 82
2033, 82
861, 82
862, 82
2187, 82
flow, 82
2438, 82
1946, 82
1395, 82
830, 81
we, 81
46, 81
fourier, 81
2629, 80
operation, 80
970, 80
integral, 80
graphics, 80
recognition, 80
strings, 80
1982, 80
compared, 80
transformation, 80
same, 80
practical, 80
2452, 80
called, 80
2768, 80
2228, 80
1989, 80
users, 80
normal, 80
note, 79
points, 79
rule, 79
729, 79
complexity, 79
45, 78
2709, 78
2828, 78
1486, 78
1350, 78
1050, 78
2626, 78
parameters, 78
uses, 78
2482, 78
1572, 78
reference, 78
2478, 78
360, 78
2996, 78
experimental, 78
about, 78
1927, 78
character, 77
multiple, 77
405, 77
19, 77
37, 77
behavior, 77
necessary, 77
cobol, 76
730, 76
2582, 76
3155, 76
2227, 76
987, 76
2734, 76
sets, 76
2747, 76
25, 76
2889, 76
sequence, 76
1748, 76
32, 75
284, 75
5.14, 74
2824, 74
high, 74
1389, 74
way, 74
2866, 74
1334, 74
2451, 74
known, 74
instruction, 74
2845, 74
conversion, 73
allows, 73
concept, 73
generating, 73
symbolic, 73
1684, 72
collection, 72
length, 72
main, 72
2867, 72
2982, 72
presents, 72
2501, 72
2710, 72
33, 72
extension, 72
43, 72
1397, 72
variable, 71
working, 71
experiments, 71
resource, 71
coding, 71
1768, 70
917, 70
2470, 70
found, 70
1336, 70
1324, 70
1365, 70
disk, 70
recursive, 70
2156, 70
1856, 70
derived, 70
2355, 70
2480, 70
structured, 70
1225, 70
3030, 70
1122, 70
useful, 70
2896, 70
429, 70
2082, 70
77, 70
out, 70
3083, 70
syntactic, 69
similar, 69
proof, 69
correctness, 69
words, 69
logical, 68
1754, 68
2247, 68
3004, 68
2594, 68
2573, 68
compilers, 68
construction, 68
do, 68
2167, 68
translation, 68
requires, 68
associated, 68
2603, 68
3074, 68
2388, 68
54, 68
1542, 68
2911, 68
364, 67
line, 67
statistical, 67
speed, 67
need, 67
source, 67
direct, 67
55, 67
50, 67
5.12, 66
1138, 66
average, 66
being, 66
915, 66
914, 66
complete, 66
1682, 66
2032, 66
provided, 66
3202, 66
3200, 66
3199, 66
3204, 66
3201, 66
3203, 66
1200, 66
2359, 66
1523, 66
debugging, 66
single, 66
1386, 66
49, 66
41, 66
3150, 66
1394, 66
2407, 66
calculation, 65
elements, 65
protection, 65
1957, 65
specification, 65
basis, 65
minimum, 65
36, 65
here, 64
1706, 64
addressing, 64
1469, 64
5.13, 64
coefficients, 64
independent, 64
2152, 64
2378, 64
2354, 64
during, 64
1980, 64
2040, 64
solutions, 64
2715, 64
2955, 64
2524, 64
863, 64
39, 64
34, 64
2650, 64
however, 64
42, 64
2042, 64
2222, 64
since, 64
4.9, 64
included, 64
3148, 64
object, 63
tape, 63
security, 63
solving, 63
area, 63
array, 63
curve, 63
lisp, 63
1900, 63
major, 63
significant, 63
834, 62
hash, 62
616, 62
2147, 62
partial, 62
should, 62
1647, 62
58, 62
2365, 62
sharing, 62
3080, 62
51, 62
53, 62
52, 62
2436, 62
state, 62
1828, 62
addition, 62
3121, 62
860, 62
2499, 62
4.49, 62
2085, 62
1488, 62
much, 61
concepts, 61
precedence, 61
machines, 61
them, 61
conventional, 61
page, 61
database, 61
finding, 61
statement, 61
38, 61
47, 61
further, 61
59, 61
57, 61
core, 61
record, 61
expression, 60
911, 60
852, 60
2074, 60
symmetric, 60
division, 60
processors, 60
store, 60
interpolation, 60
context-free, 60
2901, 60
2673, 60
2545, 60
865, 60
945, 60
3154, 60
2870, 60
56, 60
2852, 60
1807, 60
1846, 60
2595, 60
because, 60
result, 59
logic, 59
squares, 59
codes, 59
university, 59
programmer, 59
characters, 59
cases, 59
picture, 59
nonlinear, 59
2888, 58
index, 58
2844, 58
1570, 58
including, 58
surface, 58
5.25, 58
1753, 58
suggested, 58
formulas, 58
1062, 58
although, 58
48, 58
2879, 58
1390, 58
521, 58
2221, 58
rather, 58
1861, 58
1869, 58
1134, 58
5.39, 58
1746, 58
four, 57
aspects, 57
exponential, 57
up, 57
upon, 57
block, 57
lists, 57
variety, 57
2314, 57
among, 57
pl, 57
often, 57
modified, 57
criteria, 57
5.32, 57
2513, 56
209, 56
records, 56
795, 56
image, 56
2766, 56
851, 56
2154, 56
2517, 56
ordinary, 56
another, 56
fixed, 56
inversion, 56
semantics, 56
analyzed, 56
2943, 56
probability, 56
while, 56
2965, 56
terminal, 56
y, 56
2839, 56
3076, 56
3186, 56
2479, 56
2263, 56
times, 56
2457, 56
1924, 56
2360, 56
include, 56
on-line, 55
sequential, 55
1935, 55
minimal, 55
relations, 55
relative, 55
roots, 55
324, 55
finite, 55
arbitrary, 55
gamma, 55
objects, 54
best, 54
2881, 54
3068, 54
generalized, 54
heuristic, 54
872, 54
garbage, 54
4.0, 54
total, 54
1604, 54
1273, 54
3113, 54
1040, 54
2350, 54
boolean, 54
1987, 54
permits, 54
additional, 54
2315, 54
4.30, 54
1747, 54
permutations, 54
2668, 54
either, 54
field, 54
2434, 54
2857, 54
753, 54
2958, 54
sort, 54
future, 53
blocks, 53
accuracy, 53
02, 53
less, 53
discussion, 53
american, 53
selection, 53
specific, 53
thus, 53
capabilities, 53
1179, 52
2034, 52
integer, 52
2537, 52
acm, 52
2767, 52
2541, 52
testing, 52
does, 52
semantic, 52
2424, 52
621, 52
3.70, 52
2093, 52
3115, 52
2651, 52
2665, 52
ii, 52
3096, 52
hashing, 52
distributed, 52
1241, 52
1676, 52
specified, 52
1026, 52
2817, 52
limited, 52
facilities, 52
generated, 52
his, 52
3087, 52
1292, 52
2497, 52
4.20, 52
100, 51
graphical, 51
arrays, 51
prime, 51
examined, 51
even, 51
fitting, 51
09, 51
detection, 51
assignment, 51
lines, 51
symbol, 51
1155, 50
current, 50
858, 50
1592, 50
2257, 50
initial, 50
2987, 50
advantages, 50
amount, 50
1708, 50
5.23, 50
whose, 50
1105, 50
make, 50
stored, 50
2957, 50
z, 50
course, 49
square, 49
2417, 49
measurement, 49
332, 49
produce, 49
8.1, 49
degree, 49
real-time, 49
extended, 49
factors, 49
introduced, 49
english, 49
classes, 49
406, 49
curriculum, 49
2820, 48
2320, 48
854, 48
levels, 48
translator, 48
1497, 48
optimum, 48
1205, 48
permutation, 48
chebyshev, 48
2256, 48
editing, 48
range, 48
2716, 48
instructions, 48
786, 48
applicable, 48
query, 48
expected, 48
2998, 48
transform, 48
5.31, 48
what, 48
reduction, 48
714, 48
1489, 48
subroutines, 47
power, 47
verification, 47
existing, 47
elementary, 47
graphs, 47
event, 47
effect, 47
07, 47
finally, 47
5.41, 47
2874, 47
require, 47
graphic, 47
usage, 47
format, 46
suitable, 46
address, 46
2530, 46
integrals, 46
elimination, 46
1112, 46
2297, 46
2786, 46
3179, 46
items, 46
1190, 46
interval, 46
2406, 46
2151, 46
1603, 46
1853, 46
nodes, 46
3187, 46
2538, 46
2667, 46
1515, 46
matching, 46
1458, 46
1698, 46
2004, 46
1338, 46
2148, 46
1211, 46
1805, 46
3101, 46
1841, 46
3143, 46
5.16, 45
399, 45
needed, 45
symbols, 45
correction, 45
devices, 45
choice, 45
307, 45
years, 45
subject, 45
ordering, 45
mathematics, 45
utilization, 45
720, 45
03, 45
05, 45
easily, 45
eigenvalues, 45
changes, 45
determine, 45
recursion, 45
related, 45
4.41, 45
transformations, 45
whether, 45
2687, 44
effective, 44
easy, 44
formula, 44
proving, 44
2616, 44
technology, 44
856, 44
850, 44
853, 44
859, 44
contour, 44
1092, 44
2146, 44
allow, 44
04, 44
1425, 44
patterns, 44
2191, 44
2860, 44
bound, 44
3.50, 44
1485, 44
1418, 44
2097, 44
business, 44
1792, 44
determining, 44
consists, 44
floating-point, 44
3014, 44
1752, 44
2717, 44
2718, 44
monitor, 44
1720, 44
2773, 44
866, 44
constraints, 44
2249, 44
1988, 44
path, 44
2455, 44
855, 44
857, 44
performed, 44
2349, 44
1884, 44
2912, 44
3166, 44
3163, 44
1958, 44
entry, 43
detailed, 43
experience, 43
492, 43
handling, 43
illustrated, 43
08, 43
human, 43
algebra, 43
corresponding, 43
detail, 43
267, 43
4.34, 43
142, 43
writing, 43
would, 43
events, 43
3.63, 43
1216, 42
250, 42
2188, 42
mean, 42
2396, 42
06, 42
aid, 42
log, 42
988, 42
2927, 42
2691, 42
interest, 42
2731, 42
group, 42
01, 42
find, 42
generators, 42
notation, 42
alternative, 42
1.52, 42
944, 42
mechanisms, 42
