term, tf
4, 18440
5, 16438
6, 15339
the, 11033
of, 9209
a, 6407
and, 4607
to, 3790
is, 3731
in, 3478
cacm, 3204
for, 3177
1978, 3035
jb, 3001
pm, 2220
program, 2111
algorithm, 2015
ar, 1989
system, 1946
comput, 1945
march, 1831
on, 1715
3, 1706
an, 1404
us, 1352
be, 1269
by, 1236
which, 1184
thi, 1166
with, 1129
that, 1097
languag, 1070
method, 1013
februari, 1011
it, 1005
am, 987
1781, 975
as, 961
data, 950
januari, 934
2, 915
j, 902
time, 858
problem, 854
gener, 848
1, 840
s, 772
process, 760
r, 723
9, 707
10, 659
function, 656
structur, 641
present, 627
1491, 623
describ, 612
m, 599
can, 594
number, 584
oper, 572
from, 535
paper, 532
3184, 529
techniqu, 524
mai, 521
inform, 521
design, 505
d, 502
storag, 500
or, 499
11, 489
h, 487
12, 483
17, 471
analysi, 460
w, 456
8, 451
22, 448
set, 444
given, 438
model, 436
1787, 433
c, 430
discuss, 427
memori, 425
e, 419
196, 414
n, 411
g, 410
procedur, 407
these, 404
680, 397
1265, 397
20, 397
requir, 391
763, 389
ha, 389
1973, 384
1496, 383
13, 381
decemb, 377
result, 375
1945, 375
at, 373
code, 372
two, 369
file, 368
develop, 361
p, 359
error, 358
14, 356
been, 354
applic, 351
implement, 351
l, 347
compil, 345
such, 342
some, 342
have, 341
list, 336
799, 335
1477, 333
search, 332
perform, 330
control, 329
machin, 328
integr, 326
1963, 323
equat, 318
base, 315
1396, 313
b, 311
august, 309
1972, 308
i, 307
solut, 307
1139, 305
23, 305
tree, 304
simul, 304
june, 304
1358, 303
april, 302
not, 301
483, 301
juli, 300
optim, 299
404, 296
32, 296
tabl, 295
1860, 293
k, 287
7, 287
order, 285
effici, 282
210, 281
1140, 279
novemb, 278
other, 278
1323, 277
retriev, 275
1969, 274
user, 273
matrix, 272
new, 271
octob, 267
t, 266
provid, 266
f, 266
each, 266
2060, 265
point, 259
also, 258
2723, 257
1614, 257
1962, 255
1380, 253
989, 253
linear, 253
septemb, 252
224, 252
15, 252
30, 252
valu, 251
1613, 251
1960, 250
123, 248
1626, 245
1223, 243
249, 243
standard, 241
1751, 241
distribut, 240
variabl, 239
network, 239
test, 239
584, 239
2179, 237
input, 236
into, 236
16, 236
automat, 234
shown, 233
numer, 232
share, 232
evalu, 232
more, 231
complex, 231
alloc, 231
page, 230
1977, 229
464, 227
level, 227
type, 226
transform, 224
all, 224
1549, 223
1785, 223
1749, 223
24, 221
than, 219
2546, 219
includ, 219
express, 218
627, 217
691, 217
1964, 216
463, 215
exampl, 214
larg, 214
fortran, 213
propos, 213
approxim, 213
digit, 212
1961, 212
between, 211
execut, 211
919, 209
1421, 209
669, 209
relat, 208
ani, 208
1132, 207
2203, 207
731, 207
2107, 207
form, 206
schedul, 205
polynomi, 204
1965, 204
1970, 202
31, 202
1198, 201
determin, 201
1826, 199
1215, 199
2842, 199
grammar, 199
line, 198
1979, 198
rule, 198
990, 197
simpl, 196
algol, 196
sort, 196
decis, 195
1303, 195
2017, 193
sever, 193
organ, 192
2698, 191
27, 191
1565, 191
random, 190
2126, 189
differ, 189
construct, 189
both, 188
205, 188
761, 187
2543, 187
graphic, 186
28, 186
1966, 186
2319, 185
1967, 185
work, 184
wa, 183
effect, 183
631, 181
their, 180
graph, 179
first, 179
2220, 179
2109, 179
processor, 178
21, 178
when, 178
1051, 177
correct, 177
1102, 177
3073, 177
string, 177
commun, 176
onli, 174
deriv, 174
symbol, 174
specif, 173
manag, 173
mani, 172
displai, 172
41, 172
1234, 171
1046, 171
1464, 171
2632, 169
access, 169
39, 169
case, 169
parallel, 168
but, 167
1141, 167
2732, 167
mean, 166
1968, 166
1641, 165
space, 165
1471, 165
minim, 165
obtain, 165
studi, 164
manipul, 164
approach, 164
defin, 164
1468, 163
pattern, 163
1354, 163
1728, 161
1366, 161
cost, 161
2356, 161
2317, 161
possibl, 160
arithmet, 160
1836, 159
size, 159
74, 159
2855, 159
object, 158
condit, 158
real, 157
output, 157
statement, 157
1393, 157
1974, 156
2377, 155
3112, 155
19, 155
translat, 155
scienc, 154
represent, 154
consid, 154
interact, 154
address, 153
2708, 153
1379, 153
1263, 153
binari, 153
certain, 152
35, 152
class, 152
well, 152
2218, 151
1975, 151
3053, 151
will, 151
1788, 151
398, 150
compar, 150
2251, 149
2053, 149
charact, 149
2155, 149
1531, 149
kei, 149
term, 149
1825, 149
2168, 149
allow, 148
mathemat, 148
most, 148
29, 148
store, 148
scheme, 147
improv, 147
1693, 147
653, 147
381, 146
three, 146
featur, 146
2095, 145
2373, 145
direct, 145
378, 144
multipl, 144
1976, 143
2150, 143
2534, 143
288, 143
49, 143
1767, 141
then, 141
1877, 141
descript, 141
1487, 141
logic, 140
25, 140
sequenc, 140
purpos, 140
extens, 139
1460, 139
softwar, 139
1786, 139
concept, 139
3188, 139
42, 138
made, 138
record, 138
1007, 137
1467, 137
2679, 137
basic, 137
instruct, 136
definit, 136
word, 136
experi, 136
multiprogram, 136
part, 136
410, 136
1535, 135
if, 135
properti, 134
dynam, 134
34, 134
measur, 133
need, 133
106, 133
squar, 133
2625, 133
appli, 132
316, 132
calcul, 132
report, 132
321, 132
theori, 132
algebra, 131
2178, 131
solv, 131
context, 130
2018, 129
addit, 129
1901, 129
1854, 129
0, 129
o, 128
600, 128
jr, 128
26, 128
seri, 127
1131, 127
1463, 127
1462, 127
formal, 127
recurs, 127
1601, 127
2358, 127
1149, 127
over, 127
1602, 127
fit, 126
select, 126
block, 126
call, 126
2704, 125
2252, 125
2736, 125
2863, 125
dh, 125
2110, 125
variou, 125
849, 125
statist, 125
50, 125
hash, 124
18, 124
util, 124
natur, 123
3106, 123
1919, 123
normal, 123
special, 122
make, 122
free, 122
particular, 122
state, 122
1098, 121
mechan, 121
produc, 121
642, 121
refer, 121
40, 121
differenti, 121
2127, 121
combin, 121
44, 120
491, 120
