QID DOCID Rank IsRelevant  Precision Recall 
1 1173 1 0 0.000 0.000
1 1827 2 0 0.000 0.000
1 2380 3 0 0.000 0.000
1 2379 4 0 0.000 0.000
1 3048 5 0 0.000 0.000
1 2371 6 0 0.000 0.000
1 1033 7 0 0.000 0.000
1 2003 8 0 0.000 0.000
1 1542 9 0 0.000 0.000
1 1519 10 0 0.000 0.000
1 1753 11 0 0.000 0.000
1 2740 12 0 0.000 0.000
1 1591 13 0 0.000 0.000
1 1304 14 0 0.000 0.000
1 2319 15 0 0.000 0.000
1 3068 16 0 0.000 0.000
1 1735 17 0 0.000 0.000
1 2560 18 0 0.000 0.000
1 2629 19 0 0.000 0.000
1 1938 20 0 0.000 0.000
1 1571 21 0 0.000 0.000
1 1605 22 1 0.045 0.200
1 1161 23 0 0.043 0.200
1 2955 24 0 0.042 0.200
1 2767 25 0 0.040 0.200
1 1506 26 0 0.038 0.200
1 1657 27 0 0.037 0.200
1 2344 28 0 0.036 0.200
1 2621 29 0 0.034 0.200
1 1525 30 0 0.033 0.200
1 2219 31 0 0.032 0.200
1 3069 32 0 0.031 0.200
1 1264 33 0 0.030 0.200
1 1642 34 0 0.029 0.200
1 1544 35 0 0.029 0.200
1 2358 36 1 0.056 0.400
1 827 37 0 0.054 0.400
1 1163 38 0 0.053 0.400
1 2455 39 0 0.051 0.400
1 2984 40 0 0.050 0.400
1 1523 41 0 0.049 0.400
1 1680 42 0 0.048 0.400
1 1749 43 0 0.047 0.400
1 2948 44 0 0.045 0.400
1 3023 45 0 0.044 0.400
1 1440 46 0 0.043 0.400
1 2542 47 0 0.043 0.400
1 1393 48 0 0.042 0.400
1 1225 49 0 0.041 0.400
1 1410 50 1 0.060 0.600
1 414 51 0 0.059 0.600
1 3012 52 0 0.058 0.600
1 1226 53 0 0.057 0.600
1 1195 54 0 0.056 0.600
1 1885 55 0 0.055 0.600
1 275 56 0 0.054 0.600
1 1682 57 0 0.053 0.600
1 2288 58 0 0.052 0.600
1 704 59 0 0.051 0.600
1 3002 60 0 0.050 0.600
1 2632 61 0 0.049 0.600
1 1956 62 0 0.048 0.600
1 2917 63 0 0.048 0.600
1 2357 64 0 0.047 0.600
1 2597 65 0 0.046 0.600
1 2947 66 0 0.045 0.600
1 3163 67 0 0.045 0.600
1 69 68 0 0.044 0.600
1 2054 69 0 0.043 0.600
1 585 70 0 0.043 0.600
1 2950 71 0 0.042 0.600
1 3127 72 0 0.042 0.600
1 3137 73 0 0.041 0.600
1 2796 74 0 0.041 0.600
